"league_id","date","time","home_id","home_score","away_id","away_score"
"203510","2025-05-31","13:00","55761","57","55798","0"
"203510","2025-05-31","12:00","55784","41","55783","0"
"203510","2025-05-24","15:30","55783","5","55768","10"
"203475","2025-05-31","15:00","55796","75","55768","0"
"203475","2025-05-31","15:00","55761","20","55783","10"
"203475","2025-05-31","13:30","55796","21","55795","23"
"203475","2025-05-31","13:30","55784","51","55783","0"
"203475","2025-05-24","15:00","55795","37","55783","14"
"203475","2025-05-24","15:00","55784","53","55796","0"
"203475","2025-05-24","15:00","55761","36","55796","24"
"203475","2025-05-24","13:30","55768","13","55783","36"
"203475","2025-05-15","06:30","55783","20","55783","0"
"203475","2025-05-10","15:00","55795","22","55768","34"
"203475","2025-05-10","15:00","55796","20","55796","0"
"203475","2025-05-10","15:00","55784","5","55761","21"
"203509","2025-05-31","15:15","55795","21","55768","21"
"203509","2025-05-31","14:45","55771","49","55798","0"
"203509","2025-05-31","14:15","55768","0","55771","42"
"203509","2025-05-31","13:30","55795","14","55798","12"
"203509","2025-05-31","13:00","55768","10","55798","14"
"203509","2025-05-31","12:30","55795","0","55771","28"
"200540","2025-05-31","12:30","55789","0","55758","0"
"200540","2025-05-31","12:30","55771","0","55800","0"
"200540","2025-05-17","15:00","55795","7","59123","48"
"200540","2025-05-10","15:00","55777","26","55763","22"
"200540","2025-05-10","15:00","55767","60","55772","0"
"200540","2025-05-10","14:30","55812","12","55780","31"
"200540","2025-05-10","14:15","55772","0","55806","7"
"200540","2025-05-10","13:30","55777","7","55778","29"
"200540","2025-05-10","13:30","55767","14","55806","7"
"200540","2025-05-10","13:00","55787","65","55764","17"
"200540","2025-05-03","15:30","55790","0","55789","0"
"200540","2025-05-03","15:30","55775","10","55760","26"
"200540","2025-05-03","15:00","55783","10","55793","7"
"200540","2025-05-03","14:30","55800","19","55813","40"
"200540","2025-05-03","14:30","55765","10","55803","10"
"200540","2025-05-03","14:15","55787","0","55812","0"
"200540","2025-05-03","14:00","55802","19","55767","7"
"200540","2025-05-03","14:00","55790","30","55808","5"
"200540","2025-05-03","14:00","55783","0","55793","10"
"200540","2025-05-03","14:00","55775","22","55760","17"
"200540","2025-05-03","14:00","55764","24","55758","21"
"200540","2025-05-03","13:30","55786","39","55801","19"
"200540","2025-05-03","13:30","55779","0","55791","50"
"200540","2025-05-03","13:30","55766","22","55770","36"
"200540","2025-05-03","13:00","55800","26","55813","42"
"200540","2025-05-03","13:00","55778","20","55777","0"
"200540","2025-05-03","13:00","55778","20","55777","0"
"200540","2025-04-30","18:00","55813","35","69558","22"
"200540","2025-04-26","20:55","55784","0","83898","0"
"200540","2025-04-26","20:20","55796","0","55761","0"
"200540","2025-04-26","19:45","83898","0","55761","0"
"200540","2025-04-26","19:10","55796","20","55784","0"
"200540","2025-04-26","18:35","55761","0","55784","0"
"200540","2025-04-26","18:00","55796","0","83898","0"
"200540","2025-04-26","16:00","55762","0","55787","0"
"200540","2025-04-26","15:15","55759","70","55783","14"
"200540","2025-04-26","15:00","55811","0","55762","0"
"200540","2025-04-26","15:00","55777","0","55808","0"
"200540","2025-04-26","15:00","55758","19","55767","26"
"200540","2025-04-26","14:00","55801","0","55803","0"
"200540","2025-04-26","14:00","55787","0","55765","0"
"200540","2025-04-26","13:30","55791","40","55781","7"
"200540","2025-04-26","13:15","55800","22","55793","5"
"200540","2025-04-26","13:00","55765","0","55811","0"
"200540","2025-04-26","12:00","55811","0","55787","0"
"200540","2025-04-26","12:00","55800","0","55793","12"
"200540","2025-04-26","11:00","55762","0","55765","0"
"200540","2025-04-19","14:00","55801","40","55817","12"
"200540","2025-04-17","20:30","55768","0","59123","0"
"200540","2025-04-12","21:15","55796","0","55771","0"
"200540","2025-04-12","20:25","60275","0","55796","0"
"200540","2025-04-12","19:45","55771","0","60275","0"
"200540","2025-04-02","19:00","69558","0","55789","0"
"200540","2025-02-18","19:00","55796","0","59123","0"
"200720","2025-05-31","12:30","55790","0","55775","0"
"200720","2025-05-24","12:30","55791","62","55801","26"
"200720","2025-05-24","12:00","55770","15","55760","54"
"200720","2025-05-14","19:00","55767","36","55759","0"
"200720","2025-05-03","13:00","55783","0","55793","0"
"200720","2025-05-03","12:30","55813","0","55811","0"
"200720","2025-05-03","12:30","55786","0","55815","41"
"200720","2025-05-03","12:00","55790","27","55770","19"
"200720","2025-05-03","12:00","55779","20","55791","25"
"200720","2025-05-03","11:30","55786","31","55801","12"
"200720","2025-04-26","14:30","55800","45","55811","7"
"200720","2025-04-26","13:45","55759","51","55783","5"
