"league_id","team_id","pos","pld","w","d","l","pf","pa","diff","tf","ta","td","pts","division"
"203510","55784","1","4","4","0","0","173","36","137","19","5","14","19",""
"203510","55761","2","3","3","0","0","174","34","140","28","10","18","15",""
"203510","55795","3","3","1","0","2","88","110","-22","14","17","-3","5",""
"203510","55768","4","1","1","0","0","10","5","5","2","1","1","4",""
"203510","55783","5","3","0","0","3","22","85","-63","4","14","-10","1",""
"203510","55798","6","4","0","0","4","27","224","-197","7","27","-20","1",""
"203510","55771","7","0","0","0","0","0","0","0","0","0","0","0",""
"203475","55761","1","6","6","0","0","260","71","189","39","12","27","28",""
"203475","55796","2","6","5","0","1","239","56","183","38","8","30","26",""
"203475","55783","3","6","5","0","1","157","66","91","29","9","20","25",""
"203475","55768","4","6","4","0","2","159","180","-21","23","27","-4","19",""
"203475","55784","5","6","2","0","4","163","121","42","26","17","9","11",""
"203475","55795","6","6","2","0","4","112","225","-113","17","37","-20","9",""
"203475","55796","7","6","0","0","6","57","212","-155","9","33","-24","2",""
"203475","55783","8","6","0","0","6","26","242","-216","4","42","-38","0",""
"203509","55771","1","3","3","0","0","220","50","170","36","9","27","15",""
"203509","55795","2","3","2","0","1","95","94","1","17","16","1","11",""
"203509","55798","3","3","1","0","2","81","187","-106","14","31","-17","6",""
"203509","55768","4","3","0","0","3","63","128","-65","11","22","-11","3",""
"200540","55796","1","6","1","5","0","20","0","20","4","0","4","15",""
"200540","55767","2","4","3","0","1","107","45","62","17","7","10","14",""
"200540","55778","3","3","3","0","0","69","7","62","11","1","10","14",""
"200540","55787","4","5","1","4","0","65","17","48","11","3","8","13",""
"200540","55790","5","4","1","3","0","30","5","25","6","1","5","11",""
"200540","55791","6","2","2","0","0","90","7","83","15","1","14","10",""
"200540","55813","7","2","2","0","0","77","48","29","13","8","5","10",""
"200540","55793","8","2","2","0","0","22","0","22","4","0","4","8",""
"200540","55765","9","4","0","4","0","10","10","0","2","2","0","8",""
"200540","55800","10","2","1","1","0","53","17","36","9","3","6","7",""
"200540","55801","11","3","1","1","1","59","51","8","9","9","0","7",""
"200540","55777","12","3","1","1","1","26","42","-16","4","8","-4","7",""
"200540","55811","13","3","0","3","0","0","0","0","0","0","0","6",""
"200540","55762","14","3","0","3","0","0","0","0","0","0","0","6",""
"200540","55761","15","3","0","3","0","0","0","0","0","0","0","6",""
"200540","55789","16","3","0","3","0","0","0","0","0","0","0","6",""
"200540","55813","17","1","1","0","0","40","19","21","6","3","3","5",""
"200540","55800","18","2","1","0","1","41","45","-4","7","7","0","5",""
"200540","55759","19","1","1","0","0","70","14","56","10","2","8","5",""
"200540","55786","20","1","1","0","0","39","19","20","7","3","4","5",""
"200540","55780","21","1","1","0","0","31","12","19","5","2","3","5",""
"200540","55760","22","1","1","0","0","26","10","16","4","2","2","5",""
"200540","55770","23","1","1","0","0","36","22","14","6","4","2","5",""
"200540","55775","24","1","1","0","0","22","17","5","4","3","1","5",""
"200540","55806","25","2","1","0","1","14","14","0","2","2","0","5",""
"200540","55764","26","2","1","0","1","41","86","-45","7","14","-7","5",""
"200540","55771","27","2","0","2","0","0","0","0","0","0","0","4",""
"200540","55802","28","1","1","0","0","19","7","12","3","1","2","4",""
"200540","55783","29","1","1","0","0","10","7","3","2","1","1","4",""
"200540","55803","30","2","0","2","0","10","10","0","2","2","0","4",""
"200540","55784","31","3","0","2","1","0","20","-20","0","4","-4","4",""
"200540","55806","32","2","0","1","1","17","53","-36","3","9","-6","2",""
"200540","55810","33","1","0","1","0","0","0","0","0","0","0","2",""
"200540","55768","34","1","0","1","0","0","0","0","0","0","0","2",""
"200540","55771","35","1","0","1","0","0","0","0","0","0","0","2",""
"200540","55758","36","1","0","1","0","0","0","0","0","0","0","2",""
"200540","55763","37","1","0","0","1","22","26","-4","4","4","0","2",""
"200540","55758","38","2","0","0","2","40","50","-10","6","8","-2","2",""
"200540","55812","39","2","0","1","1","12","31","-19","2","5","-3","2",""
"200540","55808","40","2","0","1","1","5","30","-25","1","6","-5","2",""
"200540","55760","41","1","0","0","1","17","22","-5","3","4","-1","1",""
"200540","55766","42","1","0","0","1","22","36","-14","4","6","-2","1",""
"200540","55793","43","2","0","0","2","12","32","-20","2","6","-4","1",""
"200540","55800","44","2","0","0","2","26","54","-28","4","8","-4","1",""
"200540","55772","45","2","0","0","2","0","67","-67","0","11","-11","1",""
"200540","55767","46","0","0","0","0","0","0","0","0","0","0","0",""
"200540","55775","47","1","0","0","1","10","26","-16","2","4","-2","0",""
"200540","55817","48","1","0","0","1","12","40","-28","2","6","-4","0",""
"200540","55781","49","1","0","0","1","7","40","-33","1","6","-5","0",""
"200540","55795","50","1","0","0","1","7","48","-41","1","8","-7","0",""
"200540","55777","51","2","0","0","2","7","49","-42","1","7","-6","0",""
"200540","55779","52","1","0","0","1","0","50","-50","0","9","-9","0",""
"200540","55783","53","2","0","0","2","14","80","-66","2","12","-10","0",""
"200540","55808","54","1","0","0","1","0","83","-83","0","13","-13","0",""
"200720","55791","1","3","2","0","1","116","100","16","20","18","2","11",""
"200720","55790","2","2","1","1","0","27","19","8","4","3","1","7",""
"200720","55759","3","1","1","0","0","51","5","46","9","1","8","5",""
"200720","55815","4","1","1","0","0","41","0","41","7","0","7","5",""
"200720","55760","5","1","1","0","0","54","15","39","10","3","7","5",""
"200720","55800","6","1","1","0","0","45","7","38","7","1","6","5",""
"200720","55767","7","1","1","0","0","36","0","36","6","0","6","5",""
"200720","55768","8","1","1","0","0","35","5","30","35","5","30","5",""
"200720","55781","9","1","1","0","0","54","29","25","10","5","5","5",""
"200720","55786","10","1","1","0","0","31","12","19","6","2","4","5",""
"200720","55783","11","2","0","1","1","5","51","-46","1","9","-8","2",""
"200720","55793","12","1","0","1","0","0","0","0","0","0","0","2",""
"200720","55813","13","1","0","1","0","0","0","0","0","0","0","2",""
"200720","55811","14","2","0","1","1","7","45","-38","1","7","-6","2",""
"200720","55775","15","1","0","1","0","0","0","0","0","0","0","2",""
"200720","55779","16","1","0","0","1","20","25","-5","4","5","-1","2",""
"200720","55801","17","1","0","0","1","26","62","-36","4","10","-6","1",""
"200720","55770","18","1","0","0","1","19","27","-8","3","4","-1","0",""
"200720","55801","19","1","0","0","1","12","31","-19","2","6","-4","0",""
"200720","55759","20","1","0","0","1","0","36","-36","0","6","-6","0",""
"200720","55770","21","1","0","0","1","15","54","-39","3","10","-7","0",""
"200720","55786","22","1","0","0","1","0","41","-41","0","7","-7","0",""
"202744","55807","1","3","1","2","0","43","17","26","7","2","5","9",""
"202744","55807","2","3","1","2","0","38","26","12","6","4","2","9",""
"202744","55793","3","3","1","2","0","48","38","10","8","6","2","9",""
"202744","55777","4","1","1","0","0","36","29","7","6","5","1","5",""
"202744","82814","5","2","0","2","0","0","0","0","0","0","0","4",""
"202744","55815","6","2","0","2","0","0","0","0","0","0","0","4",""
"202744","55775","7","2","0","2","0","0","0","0","0","0","0","4",""
"202744","55761","8","2","0","2","0","0","0","0","0","0","0","4",""
"202744","55815","9","2","0","2","0","0","0","0","0","0","0","4",""
"202744","55796","10","1","0","1","0","0","0","0","0","0","0","2",""
"202744","55775","11","1","0","0","1","29","36","-7","5","6","-1","2",""
"202744","55760","12","1","0","0","1","26","38","-12","4","6","-2","1",""
"202744","55762","13","1","0","0","1","21","31","-10","3","5","-2","0",""
"202744","55760","14","1","0","0","1","17","43","-26","2","7","-5","0",""
"202745","55761","1","1","1","0","0","46","0","46","8","0","8","5",""
"202745","55780","2","1","1","0","0","27","5","22","5","1","4","5",""
"202745","55807","3","1","1","0","0","36","28","8","6","4","2","5",""
