"league_id","team_id","pos","pld","w","d","l","pf","pa","diff","tf","ta","td","pts"
"204887","61601","1","5","5","0","0","268","69","199","25","8","17","23"
"204887","61603","2","4","3","0","1","152","131","21","27","21","6","16"
"204887","61605","3","5","3","0","2","264","172","92","30","25","5","16"
"204887","61612","4","6","2","0","4","136","304","-168","22","37","-15","11"
"204887","61611","5","5","1","1","3","160","197","-37","21","21","0","9"
"204887","61608","6","5","0","1","4","126","233","-107","17","30","-13","5"
"204889","61601","1","6","5","0","1","265","104","161","39","17","22","26"
"204889","61603","2","6","4","0","2","201","143","58","30","24","6","22"
"204889","61600","3","6","4","1","1","142","105","37","22","16","6","20"
"204889","61602","4","6","4","0","2","213","108","105","34","17","17","20"
"204889","61608","5","6","3","1","2","191","150","41","30","24","6","19"
"204889","61605","6","7","3","0","4","189","239","-50","32","38","-6","17"
"204889","58654","7","6","2","1","3","167","206","-39","24","34","-10","16"
"204889","61609","8","5","3","0","2","201","128","73","33","19","14","15"
"204889","61612","9","6","2","0","4","179","186","-7","31","27","4","14"
"204889","61611","10","7","1","1","5","124","215","-91","20","34","-14","9"
"204889","61606","11","7","1","0","6","88","376","-288","14","59","-45","6"
"204890","61602","1","6","6","0","0","440","201","239","69","31","38","29"
"204890","61612","2","6","2","0","4","277","263","14","51","45","6","17"
"204890","61601","3","7","3","0","4","244","378","-134","25","47","-22","16"
"204890","61599","4","7","2","0","5","254","373","-119","32","54","-22","13"
"204893","58655","1","4","4","0","0","187","56","131","30","8","22","20"
"204893","58654","2","3","3","0","0","137","51","86","23","9","14","15"
"204893","61602","3","3","2","0","1","104","61","43","18","11","7","9"
"204893","61603","4","4","1","0","3","93","83","10","15","15","0","8"
"204893","61612","5","4","1","0","3","114","175","-61","20","29","-9","6"
"204893","61605","6","5","0","0","5","32","259","-227","6","43","-37","0"
"204894","61606","1","5","5","0","0","165","77","88","28","13","15","25"
"204894","61609","2","5","4","0","1","242","109","133","42","19","23","22"
"204894","61605","3","5","3","0","2","219","91","128","37","17","20","17"
"204894","61611","4","5","2","0","3","91","149","-58","14","25","-11","11"
"204894","58654","5","4","2","0","2","101","136","-35","17","22","-5","10"
"204894","61612","6","6","1","0","5","70","218","-148","9","35","-26","5"
"204894","61608","7","4","0","0","4","54","151","-97","10","25","-15","2"
"204974","61612","1","6","5","0","1","295","115","180","38","16","22","26"
"204974","61608","2","5","5","0","0","343","83","260","41","13","28","24"
"204974","61603","3","7","4","0","3","241","261","-20","39","45","-6","21"
"204974","58654","4","7","2","0","5","241","358","-117","38","47","-9","13"
"204974","61601","5","5","2","0","3","119","182","-63","23","36","-13","12"
"204974","61602","6","6","0","0","6","122","362","-240","24","46","-22","5"
"205248","61533","1","4","2","2","0","79","22","57","14","4","10","14"
"205248","61540","2","4","3","0","1","97","74","23","15","12","3","14"
"205248","61528","3","2","2","0","0","48","5","43","8","1","7","10"
"205248","61539","4","4","1","0","3","63","71","-8","11","11","0","7"
"205248","61315","5","2","1","0","1","31","33","-2","5","5","0","5"
"205248","61536","6","2","0","0","2","0","40","-40","0","8","-8","0"
"205599","61530","1","4","3","0","1","148","70","78","26","12","14","17"
"205599","58656","2","3","3","0","0","93","42","51","13","8","5","14"
"205599","61531","3","4","3","0","1","91","66","25","15","12","3","14"
"205599","61529","4","4","2","0","2","123","125","-2","19","23","-4","11"
"205599","61538","5","4","2","0","2","111","132","-21","19","24","-5","11"
"205599","61536","6","3","2","0","1","92","84","8","16","10","6","10"
"205599","61315","7","5","1","0","4","99","142","-43","17","24","-7","7"
"205599","61540","8","3","1","0","2","66","80","-14","12","12","0","6"
"205599","61539","9","4","0","0","4","70","152","-82","12","24","-12","1"
"205632","61541","1","1","1","0","0","40","15","25","8","3","5","5"
"205632","61604","2","1","0","0","1","15","40","-25","3","8","-5","0"
"202550","61528","1","5","5","0","0","272","65","207","44","11","33","5"
"202550","58654","2","5","5","0","0","306","28","278","49","5","44","4"
"202550","61602","3","5","3","0","2","198","88","110","29","14","15","5"
"202550","61315","4","5","3","0","2","159","164","-5","25","26","-1","5"
"202550","61530","5","5","2","0","3","114","185","-71","18","28","-10","2"
"202550","61538","6","5","1","0","4","80","267","-187","14","41","-27","3"
"202550","61606","7","5","1","0","4","124","151","-27","19","22","-3","2"
"202550","61529","8","5","0","0","5","57","362","-305","9","60","-51","1"
"203434","61605","1","5","5","0","0","279","37","242","45","6","39","1.000"
"203434","61603","2","5","4","0","1","149","118","31","68","34","34","0.800"
"203434","61538","3","5","3","0","2","154","154","0","28","26","2","0.600"
"203434","58654","4","5","3","0","2","105","150","-45","18","24","-6","0.600"
"203434","61528","5","5","2","0","3","133","147","-14","36","68","-32","0.400"
"203434","61529","6","5","2","0","3","155","211","-56","24","35","-11","0.400"
"203434","61315","7","5","1","0","4","160","220","-60","28","36","-8","0.200"
"203434","61602","8","5","0","0","5","56","154","-98","10","28","-18","0"
